,Project Code,PQ #,PO / SO #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
6974,111-MZ-T30,FPQ-13394,SO-47460,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,12-09-13,N/A - From RDC,30-09-14,27-10-14,07-11-14,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,40070,324967.7,8.11,0.14,Mylan (formerly Matrix) Nashik,Yes,28111,18448.52,334.07
6975,151-NG-T30,FPQ-13704,SO-48322,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2/13/2014,N/A - From RDC,30-09-14,03-09-14,05-09-14,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,10230,56265,5.5,0.06,"Aurobindo Unit III, India",Yes,1505,10060,57.84
6976,901-NA-T30,FPQ-14670,SO-49560,Namibia,PMO - US,From RDC,N/A - From RDC,Truck,7/30/2014,N/A - From RDC,30-09-14,15-09-14,25-09-14,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,40000,324400,8.11,0.14,"Cipla, Goa, India",Yes,9632,15571.48,333.48
6977,103-SS-T30,FPQ-13173,SO-47101,South Sudan,PMO - US,From RDC,N/A - From RDC,Air,10/28/2013,N/A - From RDC,30-09-14,15-10-14,22-10-14,ARV,Pediatric,SCMS from RDC,"Lamivudine/Zidovudine 30/60mg, dispersible tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,30/60mg,Chewable/dispersible tablet - FDC,60,132,262.68,1.99,0.03,"Cipla, Goa, India",Yes,23,1651,0.27
6978,109-TZ-T30,FPQ-13042,SO-46690,Tanzania,PMO - US,From RDC,N/A - From RDC,Truck,10-01-13,N/A - From RDC,30-10-14,17-10-14,07-11-14,ARV,Pediatric,SCMS from RDC,"Lamivudine/Zidovudine 30/60mg, dispersible tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,30/60mg,Chewable/dispersible tablet - FDC,60,17980,38657,2.15,0.04,"Cipla, Goa, India",Yes,2152,837.59,47.82
6979,111-MZ-T30,FPQ-13575,SO-47700,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,1/17/2014,N/A - From RDC,31-10-14,30-10-14,13-11-14,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,106754,881788.04,8.26,0.14,"Cipla, Goa, India",Yes,28021,19662.09,906.48
6980,111-MZ-T30,FPQ-14226,SO-48884,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,05-02-14,N/A - From RDC,31-12-14,28-10-14,13-11-14,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,27264,41168.64,1.51,0.01,"Aurobindo Unit III, India",Yes,10191,8520.87,42.32
6981,110-ZM-T30,FPQ-13692,SO-47990,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,02-06-14,N/A - From RDC,31-10-14,02-10-14,22-10-14,ARV,Pediatric,SCMS from RDC,"Abacavir/Lamivudine 60/30mg, tablets, 60 Tabs",Abacavir/Lamivudine,Generic,60/30mg,Tablet - FDC,60,46973,187892,4,0.07,"Aurobindo Unit III, India",Yes,3237,4208.35,193.15
6982,102-BI-T30,FPQ-14112,SO-48630,Burundi,PMO - US,From RDC,N/A - From RDC,Air,4/18/2014,N/A - From RDC,31-10-14,15-10-14,28-10-14,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,1428,9424.8,6.6,0.11,"Aurobindo Unit III, India",Yes,331,4218.74,9.69
6983,104-CI-T30,FPQ-13628,SO-49880,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,1/29/2014,N/A - From RDC,31-10-14,17-10-14,07-11-14,ARV,Adult,SCMS from RDC,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,5905,21376.1,3.62,0.12,Hetero Unit III Hyderabad IN,Yes,599,2440.19,21.97
6984,103-ZW-T30,FPQ-13967,SO-49890,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,04-02-14,N/A - From RDC,14-11-14,30-10-14,07-11-14,ARV,Pediatric,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 30/50/60mg, dispersible tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,Chewable/dispersible tablet - FDC,60,10602,38167.2,3.6,0.06,Mylan (formerly Matrix) Nashik,Yes,3919,4083.5,39.24
6985,103-ZW-T30,FPQ-13990,SO-48480,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,04-01-14,N/A - From RDC,30-10-14,03-11-14,10-11-14,ARV,Pediatric,SCMS from RDC,"Abacavir/Lamivudine 60/30mg, tablets, 60 Tabs",Abacavir/Lamivudine,Generic,60/30mg,Tablet - FDC,60,50847,200845.65,3.95,0.07,"Aurobindo Unit III, India",Yes,2372,2599.36,206.47
6986,101-CD-T30,FPQ-14576,SO-49310,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,7/14/2014,N/A - From RDC,14-04-15,14-04-15,14-04-15,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,1135,1713.85,1.51,0.01,"Aurobindo Unit III, India",Yes,1165,13290.31,1.76
6988,113-ZW-T30,FPQ-14458,SO-49171,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,6/13/2014,N/A - From RDC,31-01-15,30-10-14,07-11-14,ARV,Adult,SCMS from RDC,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,100167,1026711.75,10.25,0.34,Mylan (formerly Matrix) Nashik,Yes,21570,24309.72,1055.46
6990,101-CD-T30,FPQ-14576,SO-49290,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,7/14/2014,N/A - From RDC,30-01-15,18-02-15,23-02-15,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs",Lopinavir/Ritonavir,Generic,200/50mg,Tablet,120,1156,22726.96,19.66,0.16,Mylan (formerly Matrix) Nashik,Yes,2187,24532.28,23.36
6991,151-NG-T30,FPQ-13293,SO-47270,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,11/19/2013,N/A - From RDC,31-10-14,30-10-14,03-11-14,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,191230,1550875.3,8.11,0.14,Mylan (formerly Matrix) Nashik,Yes,27094,70210,1594.3
6992,151-NG-T30,FPQ-13704,SO-48310,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2/13/2014,N/A - From RDC,31-10-14,30-10-14,03-11-14,ARV,Adult,SCMS from RDC,"Abacavir/Lamivudine 600/300mg, tablets, 30 Tabs",Abacavir/Lamivudine,Generic,600/300mg,Tablet - FDC,30,19356,261112.44,13.49,0.45,Mylan (formerly Matrix) Nashik,Yes,1960,7009,268.42
6993,151-NG-T30,FPQ-14766,SO-49701,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,8/13/2014,N/A - From RDC,31-03-15,30-10-14,03-11-14,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,28000,529200,18.9,0.16,ABBVIE Ludwigshafen Germany,Yes,6702,20526,544.02
6994,151-NG-T30,FPQ-14156,SO-48891,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,4/25/2014,N/A - From RDC,30-11-14,30-10-14,03-11-14,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,45307,367439.77,8.11,0.14,Mylan (formerly Matrix) Nashik,Yes,20329,49570,377.73
6995,114-UG-T30,FPQ-14396,SO-48970,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,06-04-14,N/A - From RDC,28-11-14,03-12-14,04-12-14,ARV,Adult,SCMS from RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,42531,196918.53,4.63,0.15,Hetero Unit III Hyderabad IN,Yes,7043,6852.08,202.43
6996,107-RW-T30,FPQ-14111,SO-48801,Rwanda,PMO - US,From RDC,N/A - From RDC,Truck,4/22/2014,N/A - From RDC,30-01-15,14-01-15,19-01-15,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,14011,113629.21,8.11,0.14,Mylan (formerly Matrix) Nashik,Yes,1755,4328.9,116.81
6997,107-RW-T30,FPQ-14111,SO-48790,Rwanda,PMO - US,From RDC,N/A - From RDC,Truck,4/22/2014,N/A - From RDC,16-02-15,14-01-15,19-01-15,ARV,Adult,SCMS from RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,73467,340886.88,4.64,0.15,Hetero Unit III Hyderabad IN,Yes,17317,26620.36,350.43
6998,104-CI-T30,FPQ-13628,SO-47912,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,1/29/2014,N/A - From RDC,30-01-15,11-02-15,16-02-15,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,4000,7960,1.99,0.01,"Aurobindo Unit III, India",Yes,10413,39599.1,8.18
6999,111-MZ-T30,FPQ-14226,SO-48880,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,05-02-14,N/A - From RDC,02-03-15,02-03-15,09-03-15,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,60,7442,19349.2,2.6,0.04,Hetero Unit III Hyderabad IN,Yes,12408,15645.33,19.89
7000,107-RW-T30,FPQ-14811,SO-49951,Rwanda,PMO - US,From RDC,N/A - From RDC,Truck,10/15/2014,N/A - From RDC,14-01-15,24-12-14,05-01-15,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, scored tablets, 90 Tabs",Efavirenz,Generic,200mg,Tablet,90,1016,9448.8,9.3,0.1,"Strides, Bangalore, India.",Yes,367,3783.24,9.71
7001,111-MZ-T30,FPQ-13124,SO-47054,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,10/21/2013,N/A - From RDC,23-03-15,23-03-15,23-03-15,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,139000,935470,6.73,0.11,Hetero Unit III Hyderabad IN,Yes,12307,8191.96,961.66
7002,107-RW-T30,FPQ-14893,SO-49990,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,10/15/2014,N/A - From RDC,31-01-15,24-12-14,31-12-14,ARV,Adult,SCMS from RDC,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,189,691.74,3.66,0.12,Hetero Unit III Hyderabad IN,Yes,15,925.6,0.71
7003,105-GY-T30,FPQ-15217,SO-50030,Guyana,PMO - US,From RDC,N/A - From RDC,Air,10/22/2014,N/A - From RDC,30-01-15,06-01-15,29-01-15,ARV,Adult,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,62,687.58,11.09,0.18,Mylan (formerly Matrix) Nashik,Yes,6,865.15,0.81
7004,105-GY-T30,FPQ-15217,SO-50040,Guyana,PMO - US,From RDC,N/A - From RDC,Air,10/22/2014,N/A - From RDC,31-03-15,06-01-15,29-01-15,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,1184,22377.6,18.9,0.16,ABBVIE Ludwigshafen Germany,Yes,251,3247.35,26.34
7005,104-CI-T30,FPQ-14370,SO-49052,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,5/23/2014,N/A - From RDC,16-02-15,19-01-15,27-01-15,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,10000,31200,3.12,0.1,"Cipla, Goa, India",Yes,24636,46181.17,32.07
7007,107-RW-T30,FPQ-14811,SO-49950,Rwanda,PMO - US,From RDC,N/A - From RDC,Truck,10/15/2014,N/A - From RDC,30-01-15,09-02-15,20-02-15,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, scored tablets, 90 Tabs",Efavirenz,Generic,200mg,Tablet,90,868,8072.4,9.3,0.1,"Strides, Bangalore, India.",Yes,173,2124.48,8.3
7008,114-UG-T30,FPQ-14396,SO-48994,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,06-04-14,N/A - From RDC,27-02-15,25-02-15,05-03-15,ARV,Adult,SCMS from RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,19086,88368.18,4.63,0.15,"Cipla, Kurkumbh, India",Yes,2389,10011.25,90.84
7009,111-MZ-T30,FPQ-13575,SO-47706,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,1/17/2014,N/A - From RDC,27-02-15,30-03-15,30-03-15,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,17246,116065.58,6.73,0.11,Hetero Unit III Hyderabad IN,Yes,1519,1932.67,119.32
7010,103-ZW-T30,FPQ-13967,SO-48440,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,04-02-14,N/A - From RDC,07-03-15,17-03-15,18-03-15,ARV,Pediatric,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 30/50/60mg, dispersible tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,Chewable/dispersible tablet - FDC,60,57804,208094.4,3.6,0.06,"Cipla, Goa, India",Yes,15222,18513.23,213.92
7011,102-BI-T30,FPQ-15406,SO-50270,Burundi,PMO - US,From RDC,N/A - From RDC,Air,11/19/2014,N/A - From RDC,27-02-15,28-02-15,05-03-15,ARV,Adult,SCMS from RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,912,4213.44,4.62,0.15,"Cipla, Kurkumbh, India",Yes,1744,10363.49,4.96
7012,107-RW-T30,FPQ-14111,SO-48810,Rwanda,PMO - US,From RDC,N/A - From RDC,Truck,4/22/2014,N/A - From RDC,31-03-15,24-03-15,24-03-15,ARV,Adult,SCMS from RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,21868,100374.12,4.59,0.15,Ranbaxy per Shasun Pharma,Yes,4326,9426.33,103.18
7013,107-RW-T30,FPQ-14811,SO-49940,Rwanda,PMO - US,From RDC,N/A - From RDC,Truck,10/15/2014,N/A - From RDC,31-03-15,24-03-15,24-03-15,ARV,Adult,SCMS from RDC,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,5148,49420.8,9.6,0.32,"Aurobindo Unit VII, IN",Yes,12079,16971.93,50.8
7015,151-NG-T30,FPQ-14766,SO-49685,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,8/13/2014,N/A - From RDC,28-02-15,10-03-15,17-03-15,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,350505,2705898.6,7.72,0.13,"Cipla, Goa, India",Yes,72975,129843.24,2781.66
7017,104-CI-T30,FPQ-14370,SO-49030,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,5/23/2014,N/A - From RDC,27-03-15,26-03-15,30-03-15,ARV,Pediatric,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 30/50/60mg, dispersible tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,Chewable/dispersible tablet - FDC,60,16500,59400,3.6,0.06,Mylan (formerly Matrix) Nashik,Yes,904,5012.88,61.06
7018,900-TG-T30,FPQ-15916,SO-51080,Togo,PMO - US,From RDC,N/A - From RDC,Air,2/18/2015,N/A - From RDC,31-03-15,23-03-15,30-03-15,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs",Lopinavir/Ritonavir,Generic,200/50mg,Tablet,120,6364,123207.04,19.36,0.16,"Aurobindo Unit III, India",Yes,1591,8834.07,145.01
7019,104-CI-T30,FPQ-14370,SO-49072,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,5/23/2014,N/A - From RDC,29-05-15,29-04-15,29-04-15,ARV,Adult,SCMS from RDC,"Abacavir/Lamivudine 600/300mg, tablets, 30 Tabs",Abacavir/Lamivudine,Generic,600/300mg,Tablet - FDC,30,1134,14912.1,13.15,0.44,Mylan (formerly Matrix) Nashik,Yes,121,1076.5,15.33
7022,103-ZW-T30,FPQ-13967,SO-50960,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,04-02-14,N/A - From RDC,30-04-15,10-04-15,14-04-15,ARV,Pediatric,SCMS from RDC,"Abacavir/Lamivudine 60/30mg, tablets, 60 Tabs",Abacavir/Lamivudine,Generic,60/30mg,Tablet - FDC,60,6634,26204.3,3.95,0.07,Mylan (formerly Matrix) Nashik,Yes,6368,225.79,26.94
7023,151-NG-T30,FPQ-14766,SO-49687,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,8/13/2014,N/A - From RDC,30-04-15,15-04-15,20-04-15,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,21347,113779.51,5.33,0.09,"Cipla, Goa, India",Yes,1554,3583,116.97
7024,110-ZM-T30,FPQ-14784,SO-49601,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,08-12-14,N/A - From RDC,29-05-15,15-05-15,15-05-15,ARV,Pediatric,SCMS from RDC,"Abacavir/Lamivudine 60/30mg, tablets, 60 Tabs",Abacavir/Lamivudine,Generic,60/30mg,Tablet - FDC,60,33308,131566.6,3.95,0.07,Mylan (formerly Matrix) Nashik,Yes,2803,4040.64,135.25
7025,110-ZM-T30,FPQ-14784,SO-49570,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,08-12-14,N/A - From RDC,15-06-15,15-05-15,15-05-15,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,68000,118320,1.74,0.03,Hetero Unit III Hyderabad IN,Yes,6221,9341.81,121.63
7026,104-CI-T30,FPQ-15259,SO-50110,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,10/24/2014,N/A - From RDC,29-05-15,08-06-15,19-06-15,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,145000,1119400,7.72,0.13,"Strides, Bangalore, India.",Yes,16614,24788.37,1317.53
7027,110-ZM-T30,FPQ-14575,SO-49284,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,07-11-14,N/A - From RDC,29-05-15,15-05-15,15-05-15,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,3926,8558.68,2.18,0.04,"Cipla, Goa, India",Yes,477,535.52,8.8
7028,151-NG-T30,FPQ-14156,SO-48900,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,4/25/2014,N/A - From RDC,29-05-15,13-05-15,21-05-15,ARV,Adult,SCMS from RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,43272,198618.48,4.59,0.15,Hetero Unit III Hyderabad IN,Yes,4285,34216.25,204.18
7029,104-CI-T30,FPQ-14370,SO-49090,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,5/23/2014,N/A - From RDC,29-05-15,29-05-15,18-06-15,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,90000,694800,7.72,0.13,Hetero Unit III Hyderabad IN,Yes,17769,36897.57,714.25
7031,101-CD-T30,FPQ-16158,SO-51270,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,3/31/2015,N/A - From RDC,08-07-15,30-07-15,30-07-15,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs",Lopinavir/Ritonavir,Generic,200/50mg,Tablet,120,2710,52465.6,19.36,0.16,"Aurobindo Unit III, India",Yes,731,9041.74,61.75
7032,105-GY-T30,FPQ-15680,SO-51040,Guyana,PMO - US,From RDC,N/A - From RDC,Air,01-02-15,N/A - From RDC,30-06-15,26-06-15,03-07-15,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs",Lopinavir/Ritonavir,Generic,200/50mg,Tablet,120,1746,33802.56,19.36,0.16,Hetero Unit III Hyderabad IN,Yes,473,5769.34,39.79
7036,104-CI-T30,FPQ-15259,SO-50111,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,10/24/2014,N/A - From RDC,31-07-15,06-08-15,07-08-15,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs",Lopinavir/Ritonavir,Generic,200/50mg,Tablet,120,10000,196600,19.66,0.16,Hetero Unit III Hyderabad IN,Yes,7041,28406.4,231.4
7041,154-NG-T30,FPQ-3815,SO-32270,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,5/26/2009,N/A - From RDC,30-07-09,04-08-09,04-08-09,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,50,122,2.44,0.04,"Aurobindo Unit III, India",Yes,112,7445.8,0.24
7043,154-NG-T30,FPQ-3815,SO-32273,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,5/26/2009,N/A - From RDC,17-09-09,14-09-09,14-09-09,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,50,350,7,0.12,"Strides, Bangalore, India.",Yes,35,1567.51,0.69
7044,104-CI-T30,FPQ-4187,SO-33550,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,09-09-09,N/A - From RDC,22-10-09,16-10-09,16-10-09,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,2000,4200,2.1,0.01,"Aurobindo Unit III, India",Yes,749,2336.27,8.23
7046,106-HT-T30,FPQ-4277,SO-33730,Haiti,PMO - US,From RDC,N/A - From RDC,Air,9/22/2009,N/A - From RDC,18-11-09,18-10-09,18-10-09,ARV,Pediatric,SCMS from RDC,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",Abacavir,Generic,20mg/ml,Oral solution,240,96,1405.44,14.64,0.06,"Aurobindo Unit III, India",Yes,54,1576.32,2.75
7047,104-CI-T30,FPQ-4187,SO-33540,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,09-09-09,N/A - From RDC,27-11-09,13-11-09,13-11-09,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,1758,3691.8,2.1,0.01,"Aurobindo Unit III, India",Yes,604,7100.04,7.24
7048,104-CI-T30,FPQ-4187,SO-33530,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,09-09-09,N/A - From RDC,26-11-09,05-11-09,05-11-09,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,6050,17545,2.9,0.05,"Aurobindo Unit III, India",Yes,442,5028.04,34.39
7049,114-UG-T30,FPQ-4275,SO-33860,Uganda,PMO - US,From RDC,N/A - From RDC,Air,9/17/2009,N/A - From RDC,03-12-09,30-11-09,30-11-09,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,15584,174852.48,11.22,0.19,"Aurobindo Unit III, India",Yes,6843,15170.33,342.71
7050,114-UG-T30,FPQ-4454,SO-34270,Uganda,PMO - US,From RDC,N/A - From RDC,Air,9/25/2009,N/A - From RDC,07-12-09,30-11-09,30-11-09,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,4700,27166,5.78,0.19,"Aurobindo Unit III, India",Yes,680,3335.33,53.25
7051,104-CI-T30,FPQ-4187,SO-34730,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,09-09-09,N/A - From RDC,26-11-09,02-12-09,02-12-09,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,1437,4167.3,2.9,0.05,"Aurobindo Unit III, India",Yes,138,1211.48,8.17
